EID,SR,com,com2
2-s2.0-84878095090,"Choi Y & Kim J, (2013) Eurasip Journal on Wireless Communications and ...",1,3
2-s2.0-84900227520,"Edelenbos J et al., (2013) Water Governance as Connective Capacity",3,1
2-s2.0-84888091473,"Haffeld J, (2013) Current Pharmacogenomics and Personalized Medicine",3,5
2-s2.0-84917728986,"Hofkirchner W, (2013) Social Morphogenesis",5,1
2-s2.0-85000437092,"Coolsaet B et al., (2013) Resources",3,1
2-s2.0-84890779560,"Marais K, (2013) Southern African Linguistics and Applied Langua...",3,5
2-s2.0-84876053185,"Barnhill E, (2013) Frontiers in Integrative Neuroscience",3,5
2-s2.0-84964299978,"Han C, (2013) China Perspectives",NA,NA
2-s2.0-84873035047,"Messeghem K & Fourquet-Courbet M, (2013) International Journal of Retail and Distributio...",7,2
2-s2.0-84925758967,"Chang Y & Li Y, (2013) Energy Market Integration in East Asia: Deepeni...",NA,NA
2-s2.0-84946715845,"Rocher L & Verdeil E, (2013) Arab World Geographer",2,1
2-s2.0-84894247075,"Brand R, (2013) International Journal of Urban Sustainable Deve...",2,2
2-s2.0-84884986489,"Fjaestad M, (2013) Energy Policy",2,6
2-s2.0-84906143559,"Sterling S & Maxey L, (2013) The Sustainable University: Progress and Prospects",NA,NA
2-s2.0-84889572885,"Farmani R & Butler D, (2013) Water Science and Technology: Water Supply",3,2
2-s2.0-84918861225,"Barnes P & Hoerber T, (2013) Sustainable Development and Governance in Europ...",3,1
2-s2.0-84902044583,"Keune H et al., (2013) Ecosystem Services: Global Issues, Local Practices",3,2
2-s2.0-84978998169,"Ribeiro J & Inglez-Dias A, (2013) Policy Analysis in Brazil",3,1
2-s2.0-84918922498,"Koegl I & Kurze K, (2013) Sustainable Development and Governance in Europ...",3,1
2-s2.0-84931085170,"Yanez K & Kernaghan S, (2013) Proceedings of the Institution of Civil Enginee...",3,2
2-s2.0-84891363614,"Nulle C et al., (2013) Nanotechnology, the Brain, and the Future",3,4
2-s2.0-84937053209,"Nyseth T, (2013) The Ashgate Research Companion to Planning and ...",4,2
2-s2.0-84906003640,"Deakin M, (2013) Smart Cities: Governing, Modelling and Analysin...",NA,NA
2-s2.0-84925749402,"Atkinson R & Gary B, (2013) The Gentrification Debates",4,2
2-s2.0-84931456529,"Perry B et al., (2013) Production and Use of Urban Knowledge: European...",4,5
2-s2.0-84905953118,"Andresen S et al., (2013) Improving Global Environmental Governance: Best...",4,5
2-s2.0-84873308159,"Boyer M, (2013) International Studies Perspectives",4,5
2-s2.0-84975468722,"Potter G, (2013) Vital Signs: The Trends That Are Shaping Our Fu...",NA,NA
2-s2.0-84875218652,"Kirshner J, (2013) Cities",3,3
2-s2.0-84917486393,"Heyd T, (2013) A Changing Environment for Human Security: Tran...",3,4
2-s2.0-84884336160,"Reiner B, (2013) Journal of Digital Imaging",1,2
2-s2.0-84878984652,"Ashuri T, (2013) First Monday",1,2
2-s2.0-84875703541,"Karr A, (2013) Journal of Official Statistics",1,2
2-s2.0-84891791499,"Larson K & Henning K, (2013) Injury",NA,NA
2-s2.0-84878593049,"Stratigea A, (2013) Regional Science Inquiry",NA,NA
2-s2.0-84921361366,"Singzon S & Shivakoti G, (2013) Southeast Asia's Credit Revolution: From Moneyl...",NA,NA
2-s2.0-84876781350,"Pieraccini M, (2013) Ecology and Society",3,2
2-s2.0-84893024294,"Ross H, (2013) Current Topics in Microbiology and Immunology",3,2
2-s2.0-84880013113,"Del Val Segarra-Ona M & Peiro-Signes A, (2013) Direccion y Organizacion",6,1
2-s2.0-84880715301,"Assalim L & de Almeida M, (2013) Journal of Technology Management and Innovation",7,3
2-s2.0-85039076130,"Macmillen J, (2013) Moving Towards Low Carbon Mobility",2,1
2-s2.0-84878851331,"Liang T, (2013) Human Systems Management",3,5
2-s2.0-84874556853,"Ivan Tarride M, (2013) Kybernetes",3,5
2-s2.0-84951047088,"Bryner G, (2013) Handbook of Public Administration: Concise Pape...",3,1
2-s2.0-84954508363,"Thissen W & Walker W, (2013) International Series in Operations Research and...",3,1
2-s2.0-85024841644,"Balducci A, (2013) Urban Planning as a Trading Zone",3,1
2-s2.0-84890054279,"Werts A et al., (2013) Leadership and Policy in Schools",3,1
2-s2.0-84889242878,"Ryan A, (2013) Critical Review",NA,NA
2-s2.0-84893060029,"Tiits M & Kalvet T, (2013) International Journal of Foresight and Innovati...",1,1
2-s2.0-84890417608,"Pandey P, (2013) Asian Biotechnology and Development Review",1,1
2-s2.0-84900421920,"Titarenko G, (2013) Economic Annals-XXI",1,1
2-s2.0-84944522902,"Gareis R, (2013) Sustainability Integration for Effective Projec...",2,3
2-s2.0-84888384598,"Thurner T & Proskuryakova L, (2013) Journal of Research Practice",2,5
2-s2.0-84882265247,"Kaufmann D & Gore O, (2013) Technology Analysis and Strategic Management",4,1
2-s2.0-84886044563,"Sick N et al., (2013) Foresight",2,5
2-s2.0-84889800627,"Kohl E, (2013) Southeastern Geographer",3,3
2-s2.0-84917426673,"Goldin J, (2013) Contemporary Water Governance in the Global Sou...",NA,NA
2-s2.0-84875133879,"Hattori K, (2013) Environment and Development Economics",6,1
2-s2.0-84884127317,"Hezri A, (2013) IDS Bulletin",3,4
2-s2.0-84900628522,"Cameron A et al., (2013) Body/State",3,3
2-s2.0-84983078687,"Lukomska-Szarek J & Wloka M, (2013) Polish Journal of Management Studies",NA,NA
2-s2.0-84918921238,"Scott J et al., (2013) Youth Resistance Research and Theories of Change",NA,NA
2-s2.0-84987792566,"Caloffi A et al., (2013) Springer Proceedings in Complexity",7,3
2-s2.0-84879229764,"Li L & Yu Y, (2013) International Journal of Green Energy",2,6
2-s2.0-84881656635,"Cabiddu F & Pettinao D, (2013) European Planning Studies",4,1
2-s2.0-84918932029,"Hermann C & Pond R, (2013) Privatization of Public Services: Impacts for E...",NA,NA
2-s2.0-84878906305,"Cobham D et al., (2013) Oxford Review of Economic Policy",3,4
2-s2.0-84888731644,"Sovacool B, (2013) The Handbook of Global Climate and Environment ...",3,1
2-s2.0-84880558332,"Kapilan Natesan N, (2013) Energy Sources, Part A: Recovery, Utilization a...",NA,NA
2-s2.0-84884983834,"Pickard W, (2013) Energy Policy",2,6
2-s2.0-84877104297,"Lachman D, (2013) Developing Countries: Political, Economic and S...",2,1
2-s2.0-84916924154,"Eom J et al., (2013) Engineering Response to Climate Change, Second ...",6,4
2-s2.0-84904620372,"Ozanne J & Anderson L, (2013) Marketing Management: A Cultural Perspective",NA,NA
2-s2.0-84930659287,"Ceschin F, (2014) SpringerBriefs in Applied Sciences and Technology",2,4
2-s2.0-84898870533,"Cramer H et al., (2014) Health Policy",2,1
2-s2.0-84923082044,"Fomin V et al., (2014) International Journal of IT Standards and Stand...",2,2
2-s2.0-84907534889,"Nunez-Lopez M et al., (2014) Discrete and Continuous Dynamical Systems - Ser...",1,2
2-s2.0-84910661053,"Ahmedshareef Z et al., (2014) Electronic Journal of Business Research Methods",2,2
2-s2.0-84897957317,"Gutberlet T, (2014) Economic History Review",4,1
2-s2.0-85009951726,"Uusitalo O, (2014) SpringerBriefs in Applied Sciences and Technology",1,2
2-s2.0-84967106656,"Lovell H, (2014) The Making of Low Carbon Economies",2,2
2-s2.0-84956830655,"Pesch U, (2014) Responsible Innovation 1: Innovative Solutions ...",2,3
2-s2.0-84902137369,"Son C & Choung J, (2014) Asian Journal of Technology Innovation",2,3
2-s2.0-84927642203,"Bidart C & Dupray A, (2014) BMS Bulletin of Sociological Methodology/ Bulle...",NA,NA
2-s2.0-84893930980,"Magaudda P, (2014) Cultural Sociology",5,1
2-s2.0-84893938067,"Magaudda P, (2014) Cultural Sociology",2,2
2-s2.0-84946228482,"Carroll N, (2014) Technological Advancements and the Impact of Ac...",2,2
2-s2.0-84903940424,"Hillman T, (2014) International Journal for Technology in Mathema...",2,2
2-s2.0-84914174774,"Farias C & Tatsch A, (2014) Revista de Economia e Sociologia Rural",1,3
2-s2.0-84930512663,"Tinoco J, (2014) Academy of Strategic Management Journal",1,2
2-s2.0-84911956738,"Cohendet P, (2014) Prometheus (United Kingdom)",1,3
2-s2.0-84905255667,"Kekale T & Helo P, (2014) Quality Innovation Prosperity",1,2
2-s2.0-84908556628,"Maeda A, (2014) Environmental Economics and Policy Studies",6,3
2-s2.0-84891660658,"Zhao L & Duan W, (2014) Computational Economics",1,4
2-s2.0-84906089495,"Amir R et al., (2014) Journal of Public Economic Theory",1,4
2-s2.0-84907437992,"Hanssen L et al., (2014) Futures",2,3
2-s2.0-84902655229,"Poupeau F, (2014) Environmental Policy and Governance",2,3
2-s2.0-84966989646,"Burch S & Harris S, (2014) Understanding Climate Change: Science, Policy, ...",2,3
2-s2.0-84916637020,"Menshikov V, (2014) Filosofija, Sociologija",5,6
2-s2.0-84887971823,"Kaluarachchi Y & Jones K, (2014) Architectural Engineering and Design Management",5,2
2-s2.0-84925726296,"Dixon T & Eames M, (2014) Urban Retrofitting for Sustainability: Mapping ...",2,1
2-s2.0-84900807121,"Hager P, (2014) Educational Philosophy and Theory",5,1
2-s2.0-84940271339,"Ipiranga A & Aguiar M, (2014) BAR - Brazilian Administration Review",5,1
2-s2.0-84926379171,"Chen J & Pham V, (2014) Foresight",1,1
2-s2.0-84891752996,"Loxley A et al., (2014) Cultural Studies of Science Education",NA,NA
2-s2.0-84946216231,"Makkonen T, (2014) Geo-Regional Competitiveness in Central and Eas...",1,1
2-s2.0-84902366144,"Del-Vecchio R et al., (2014) Quality and Quantity",1,1
2-s2.0-84957954137,"Landstrom H, (2014) Handbook of Research On Entrepreneurship: What ...",1,1
2-s2.0-84921317811,"Kebede K et al., (2014) International Journal of Energy Technology and ...",2,5
2-s2.0-84959108840,"Loconto A & Barbier M, (2014) The Governance of Socio-Technical Systems: Expl...",2,1
2-s2.0-84912068695,"Zhao P & Pendlebury J, (2014) DISP",2,1
2-s2.0-84908244996,"Szajnfarber Z, (2014) IEEE Transactions on Engineering Management",1,2
2-s2.0-84903514670,"Santos M, (2014) Problemas del Desarrollo",4,1
2-s2.0-84894946558,"Huang S, (2014) Technological Forecasting and Social Change",1,2
2-s2.0-85026878788,"Turner R & Luisetti T, (2014) Climate Change and the Coast: Building Resilien...",3,1
2-s2.0-84921309035,"Elfvengren K et al., (2014) International Journal of Energy Technology and ...",1,2
2-s2.0-84906764798,"Serbu R & Borza S, (2014) Studies in Informatics and Control",7,3
2-s2.0-84908090934,"Cimoli M, (2014) Revista de Economia Contemporanea",1,1
2-s2.0-84894648205,"Srholec M, (2014) Journal of the Knowledge Economy",1,1
2-s2.0-84961353734,"Corona J et al., (2014) Science, Technology and Innovation Policies for...",1,1
2-s2.0-84922250938,"Kashan A & Mohannak K, (2014) Prometheus (United Kingdom)",1,2
2-s2.0-84904260600,"Niemeyer B, (2014) Globalisation, Societies and Education",NA,NA
2-s2.0-85016024469,"Torfing J, (2014) Democracy and Crisis: Democratising Governance ...",3,1
2-s2.0-84978765985,"Entwistle J, (2014) Routledge Handbook of Sustainability and Fashion",5,3
2-s2.0-84999115059,"Gremmen B, (2014) The Ethics of Animal Re-creation and Modificati...",NA,NA
2-s2.0-84907470314,"Soltanzadeh J et al., (2014) International Journal of Technology, Policy and...",2,5
2-s2.0-84966930140,"Cooke P, (2014) Innovating in Urban Economies: Economic Transfo...",4,2
2-s2.0-84946049688,"Lavelle M & Fahy F, (2014) Challenging Consumption: Pathways to a more Sus...",5,2
2-s2.0-84901781374,"Intarakumnerd P & Gerdsri N, (2014) International Journal of Innovation and Technol...",1,1
2-s2.0-85026706586,"Schmitt J, (2014) Social Innovation for Business Success: Shared ...",2,1
2-s2.0-85026235575,"Happaerts S & Bruyninckx H, (2014) Advances in International Environmental Politics",2,3
2-s2.0-84957967546,"Fiorino D, (2014) Elgar Companion to Sustainable Cities: Strategi...",3,1
2-s2.0-84924001791,"Picard F & Cabaret K, (2014) Innovations",2,5
2-s2.0-84919949739,"Abrahamsson C & Ek R, (2014) Geografiska Annaler, Series B: Human Geography",4,2
2-s2.0-84939876031,"Shumpert B et al., (2014) NanoEthics",3,4
2-s2.0-84912524306,"Hannon M & Skea J, (2014) Proceedings of Institution of Civil Engineers: ...",2,1
2-s2.0-84891558039,"Delaney J, (2014) Professional Geographer",NA,NA
2-s2.0-84902975382,"Tompsett C, (2014) Forum for Development Studies",3,3
2-s2.0-85026907254,"Tiruneh B et al., (2014) Emergency Medicine International",NA,NA
2-s2.0-84937866314,"Leach M, (2014) State of the World 2013: Is Sustainability Stil...",3,1
2-s2.0-84901756522,"Van Der Duin P & Hermeler H, (2014) International Journal of Innovation and Technol...",2,5
2-s2.0-84914124267,"Campanella F et al., (2014) Journal of Intellectual Capital",4,3
2-s2.0-84958862541,"Cooke P, (2014) Handbook of Regional Science",4,3
2-s2.0-84978681971,"Ehrenfeld J, (2014) Routledge Handbook of Sustainability and Fashion",3,4
2-s2.0-84906855717,"Solomon P & Risdon C, (2014) Medical Teacher",3,5
2-s2.0-84943818571,"Bodhanya S, (2014) Problems and Perspectives in Management",3,5
2-s2.0-84958116215,"Norton B & Thompson A, (2014) Handbook of Sustainable Development: Second Edi...",3,2
2-s2.0-84901058114,"Sprogar M & Podgorelec V, (2014) Elektronika ir Elektrotechnika",3,5
2-s2.0-84904391077,"Siddiki S, (2014) Review of Policy Research",3,1
2-s2.0-84892474690,"Hysing E, (2014) International Journal of Public Administration",3,1
2-s2.0-84885577801,"Kato H et al., (2014) European Journal of Operational Research",3,1
2-s2.0-84903835683,"Urpelainen J, (2014) Environmental Economics and Policy Studies",2,4
2-s2.0-84902170694,"Xie Z & Miyazaki K, (2014) Asian Journal of Technology Innovation",1,1
2-s2.0-84900963258,"Blaikie P, (2014) Alternative Development: Unravelling Marginaliz...",3,3
2-s2.0-84960485396,"Bull B & Aguilar-Stoen M, (2014) Environmental Politics in Latin America: Elite ...",3,3
2-s2.0-84899793364,"Walker G, (2014) Geography Compass",3,3
2-s2.0-84926005225,"Houston D & Ruming K, (2014) Geographical Research",3,3
2-s2.0-84917427725,"Radel C et al., (2014) Land Change Science, Political Ecology, and Sus...",NA,NA
2-s2.0-84932166032,"Nijbroek R, (2014) Journal of Political Ecology",3,3
2-s2.0-84941734652,"Mfune O, (2014) Environment, Development and Sustainability",3,3
2-s2.0-84974815488,"Zhao A et al., (2014) Open Cybernetics and Systemics Journal",NA,NA
2-s2.0-84897915327,"Alvin Toh Y & Palmer A, (2014) IES Journal Part A: Civil and Structural Engine...",NA,NA
2-s2.0-84899859744,"Cebrian A et al., (2014) Journal of Composite Materials",NA,NA
2-s2.0-84955113067,"Amir S, (2014) Routledge Handbook of Science, Technology, and ...",3,4
2-s2.0-84901684821,"Heffron R & Haynes P, (2014) Journal of Contemporary European Research",NA,NA
2-s2.0-84902687139,"Altuntas O, (2014) Atmosphere",NA,NA
2-s2.0-84901489221,"Francot L, (2014) Archiv fur Rechts- und Sozialphilosophie",3,4
2-s2.0-84894655451,"Porter J & Randalls S, (2014) Geoforum",2,2
2-s2.0-84907659059,"Attar A & Genus A, (2014) Technological Forecasting and Social Change",3,4
2-s2.0-84903904854,"Gordijn B & ten Have H, (2014) Medicine, Health Care and Philosophy",NA,NA
2-s2.0-84916881860,"Akyelken N & Keller H, (2014) Transport Reviews",4,2
2-s2.0-84899585375,"Brossard O & Moussa I, (2014) Economics Bulletin",4,1
2-s2.0-84958105491,"Frenken K & Boschma R, (2014) Handbook of Research Methods and Applications i...",4,2
2-s2.0-84901094290,"Schmidt V, (2014) Globalisation, Multilateralism, Europe: Towards...",NA,NA
2-s2.0-84930226165,"Csomos G, (2014) Environmental Engineering and Management Journal",NA,NA
2-s2.0-84919717578,"Barak O, (2014) Comparative Studies of South Asia, Africa and t...",2,2
2-s2.0-85015875003,"He G & Morse R, (2014) Globalization, Development and Security in Asia",NA,NA
2-s2.0-84885126162,"Wang Z et al., (2014) International Journal of Green Energy",NA,NA
2-s2.0-84908462282,"Woodward A, (2014) Bulletin of the World Health Organization",NA,NA
2-s2.0-84905259321,"Wright C & Norval M, (2014) South African Medical Journal",NA,NA
2-s2.0-84903987714,"Bergmann M et al., (2014) GAIA",3,2
2-s2.0-84916925243,"Mullerleile A, (2014) Journal of Contemporary European Research",NA,NA
2-s2.0-84940778310,"Fam D & Lopes A, (2015) Journal of Design Research",5,1
2-s2.0-84942327415,"Camerani R et al., (2015) Dynamics of Knowledge Intensive Entrepreneurshi...",1,3
2-s2.0-84942990653,"Arend M, (2015) Social Semiotics",2,2
2-s2.0-84947439297,"Ceschin F, (2015) The Handbook of Service Innovation",2,4
2-s2.0-84949569411,"Ugochukwu A et al., (2015) Genome",2,4
2-s2.0-84958260323,"Geerlings H & Avelino F, (2015) Handbook on Transport and Development",2,3
2-s2.0-84938415030,"Hunt M & de Laurentis C, (2015) Local Environment",2,1
2-s2.0-84940452073,"Petruzzelli A, (2015) International Journal of Innovation Management",1,2
2-s2.0-84931828686,"Mestre A, (2015) Journal of Design Research",1,2
2-s2.0-84912102913,"Darling K et al., (2015) Science Technology and Human Values",3,4
2-s2.0-84945246648,"Dalla Corte V et al., (2015) Journal of Technology Management and Innovation",1,3
2-s2.0-84939787212,"Ruffle B et al., (2015) Journal of Behavioral and Experimental Economics",1,4
2-s2.0-84946235519,"Nandakumar K & Funk J, (2015) Technology in Society",1,2
2-s2.0-84961367144,"Lin Q et al., (2015) Land Use Policy",1,4
2-s2.0-84939523939,"Bergek A & Norrman C, (2015) Science and Public Policy",1,1
2-s2.0-85037573341,"Kasper D, (2015) Putting Sustainability into Practice: Applicati...",5,2
2-s2.0-84963910558,"Jaeger-Erben M & Ruckert-John J, (2015) Putting Sustainability into Practice: Applicati...",5,1
2-s2.0-84938743037,"Luebke J et al., (2015) Zoo Biology",NA,NA
2-s2.0-84919841990,"Teh T, (2015) Local Environment",5,3
2-s2.0-85027166601,"Kennedy E & Bateman T, (2015) Putting Sustainability into Practice: Applicati...",5,3
2-s2.0-84953851449,"Orlikowski W, (2015) Cambridge Handbook of Strategy as Practice, Sec...",5,1
2-s2.0-84936994531,"Baldwin D & Haugaard M, (2015) Journal of Political Power",3,7
2-s2.0-84939651873,"Vassilakopoulou P & Marmaras N, (2015) Health Policy and Technology",2,1
2-s2.0-84938366472,"McGrail S et al., (2015) Sustainability (Switzerland)",2,2
2-s2.0-84939254164,"Kaiser M, (2015) NanoEthics",2,2
2-s2.0-85030158069,"Barbehon M et al., (2015) Handbook of Critical Policy Studies",3,1
2-s2.0-84932086970,"Hyttinen K et al., (2015) Economics and Policy of Energy and the Environment",1,1
2-s2.0-84930514033,"Pablo-Hernando S, (2015) International Journal of Technology Management",1,1
2-s2.0-84957362305,"Deakin M, (2015) Handbook of Research on Social, Economic, and E...",1,1
2-s2.0-84959558965,"Wonglimpiyarat J, (2015) Journal of High Technology Management Research",1,1
2-s2.0-84949884027,"Casadella V et al., (2015) Innovation Capabilities and Economic Developmen...",1,1
2-s2.0-84957991045,"van Geenhuizen M & Ye Q, (2015) The Rise of the City: Spatial Dynamics in the U...",2,1
2-s2.0-84939171181,"Fawson C et al., (2015) Advances in the Study of Entrepreneurship, Inno...",7,1
2-s2.0-84947037856,"Breazeale N et al., (2015) Community Development",7,1
2-s2.0-84957062823,"Corchuelo B & Mesias F, (2015) Handbook of Research on Internationalization of...",1,1
2-s2.0-84957991727,"Jing S et al., (2015) Handbook of Research on Global Competitive Adva...",1,3
2-s2.0-84958864905,"Slepniov D et al., (2015) Innovation Spaces in Asia: Entrepreneurs, Multi...",1,1
2-s2.0-84928316086,"Sovacool B & Gross A, (2015) Interface Focus",2,2
2-s2.0-84938977201,"Suchiradipta B & Raj S, (2015) Journal of Agricultural Education and Extension",1,1
2-s2.0-84953746899,"Andreoni A, (2015) Resources, Production and Structural Dynamics",1,3
2-s2.0-84955276270,"Boon W et al., (2015) Technological Forecasting and Social Change",1,3
2-s2.0-84949525327,"Darmani A, (2015) Utilities Policy",1,3
2-s2.0-84924569166,"Park T & Ji I, (2015) Asia-Pacific Journal of Accounting and Economics",1,2
2-s2.0-84930515233,"Yi L & Shiye Y, (2015) Advance Journal of Food Science and Technology",4,1
2-s2.0-84943312027,"Ulgiati S & Brown M, (2015) Energy Security and Development: The Global Con...",4,1
2-s2.0-84924968675,"Fujita M, (2015) Scienze Regionali",4,1
2-s2.0-84934936994,"Nelson R, (2015) Economia Politica",1,3
2-s2.0-84944188014,"Kirner E et al., (2015) Low-Tech Innovation: Competitiveness of the Ger...",1,1
2-s2.0-85015182492,"Usman K et al., (2015) International Journal of Technological Learning...",1,1
2-s2.0-84937390308,"Mohamed M et al., (2015) Asian Journal of Technology Innovation",1,1
2-s2.0-84936944964,"Oikawa K & Managi S, (2015) Journal of Economic Behavior and Organization",6,1
2-s2.0-84937946995,"Mmari D, (2015) Journal of Modern African Studies",4,4
2-s2.0-84945911869,"Brenner T & Duschl M, (2015) Annals of Regional Science",1,1
2-s2.0-84930860566,"Engler D, (2015) Industrial and Corporate Change",1,2
2-s2.0-84950311422,"Chermack T & Swanson R, (2015) Human Resource Development Review",7,3
2-s2.0-84962775276,"Lukasiewicz D, (2015) European Journal for Philosophy of Religion",3,5
2-s2.0-85000692332,"Potts J & Thomas S, (2015) Media International Australia",NA,NA
2-s2.0-84930592540,"Eriksson N & Ujvari S, (2015) Journal of Health, Organisation and Management",7,2
2-s2.0-85029698382,"Speck M & Hasselkuss M, (2015) Sustainability: Science, Practice, and Policy",5,2
2-s2.0-84964974986,"Brass J, (2015) English in Australia",NA,NA
2-s2.0-84925852815,"Mattick C et al., (2015) IEEE Technology and Society Magazine",2,2
2-s2.0-84928215642,"Hawkins M, (2015) Journal of Strategic Marketing",5,1
2-s2.0-84929300375,"Van Nijnatten C & Van Elk E, (2015) British Journal of Social Work",3,7
2-s2.0-84962524814,"Intarakumnerd P et al., (2015) Asian Journal of Technology Innovation",1,1
2-s2.0-84928343916,"Faunce T, (2015) Interface Focus",NA,NA
2-s2.0-84938961295,"Giest S, (2015) Journal of Comparative Policy Analysis: Researc...",3,2
2-s2.0-84924247404,"Carr C et al., (2015) Planning Theory and Practice",NA,NA
2-s2.0-84930167261,"Miner A, (2015) Journal of Management Inquiry",1,2
2-s2.0-84949177700,"Craig D, (2015) The Search for Environmental Justice",6,3
2-s2.0-84957054394,"Banerjee-Guha S, (2015) Spatial Diversity and Dynamics in Resources and...",4,2
2-s2.0-85020290146,"Kovalevsky D et al., (2015) Discontinuity, Nonlinearity, and Complexity",3,4
2-s2.0-84920704324,"Romsdahl R et al., (2015) Journal of Environmental Policy and Planning",4,5
2-s2.0-85028198649,"Bumpus A, (2015) Climate Policy",2,4
2-s2.0-84957679341,"Ferrante A, (2015) Energy Performance of Buildings: Energy Efficie...",2,6
2-s2.0-84935064264,"Kozma G et al., (2015) Administratie si Management Public",4,5
2-s2.0-84942837464,"Copeland N, (2015) Economy and Society",3,3
2-s2.0-84939496478,"Mowery D, (2015) Industrial and Corporate Change",1,2
2-s2.0-84941276718,"Ratner B, (2015) Livelihoods, Natural Resources, and Post-Confli...",3,2
2-s2.0-84943189963,"Spencer A et al., (2015) Ecology and Society",3,2
2-s2.0-84949292930,"Paavola S et al., (2015) Climate Change Adaptation and Food Supply Chain...",3,2
2-s2.0-84957023595,"Firszt D, (2015) New Perspectives On Corporate Social Responsibi...",1,1
2-s2.0-84971483877,"Komninaki D, (2015) Regional Studies, Regional Science",4,3
2-s2.0-84926459920,"Hermanns H, (2015) Pacific Focus",3,1
2-s2.0-85018578728,"Schelly C, (2015) Resources",3,6
2-s2.0-84964628896,"Lifset R & Graedel T, (2015) International Encyclopedia of the Social & Beha...",3,6
2-s2.0-84944063347,"Allen C & Garmestani A, (2015) Adaptive Management of Social-Ecological Systems",3,2
2-s2.0-85039845279,"Fischer F, (2015) Handbook of Critical Policy Studies",3,1
2-s2.0-84925534496,"van Ostaijen M & Jhagroe S, (2015) Policy Sciences",3,1
2-s2.0-84944145194,"Murray C et al., (2015) Adaptive Management of Social-Ecological Systems",3,2
2-s2.0-84962301765,"Martens L et al., (2015) Canadian Journal of Political Science",3,4
2-s2.0-84926451753,"Scholten P & Verbeek S, (2015) Science and Public Policy",3,1
2-s2.0-84940007800,"Avby G, (2015) Vocations and Learning",3,1
2-s2.0-84934863456,"van Twist M et al., (2015) International Journal of Public Administration",3,1
2-s2.0-85028037157,"Torgerson D, (2015) Handbook of Critical Policy Studies",3,1
2-s2.0-84956547721,"Donert K, (2015) Geospatial Technologies and Geography Education...",2,5
2-s2.0-84943653697,"Bongartz R et al., (2015) Carbon Capture, Storage and Use: Technical, Eco...",NA,NA
2-s2.0-84930394372,"Meng J, (2015) Review of Radical Political Economics",1,3
2-s2.0-84941133395,"Balucan R & Steel K, (2015) International Journal of Greenhouse Gas Control",NA,NA
2-s2.0-84943611664,"Kuhn M et al., (2015) Carbon Capture, Storage and Use: Technical, Eco...",NA,NA
2-s2.0-84941911417,"Robbins P, (2015) The Routledge Handbook of Political Ecology",3,3
2-s2.0-84943398952,"Movik S & Stokke K, (2015) Norsk Geografisk Tidsskrift",3,3
2-s2.0-84951960681,"Moore S & Robbins P, (2015) Making Other Worlds Possible: Performing Divers...",3,3
2-s2.0-84942766478,"Gustafson S, (2015) Environment and Planning A",3,3
2-s2.0-84920911247,"Domosh M, (2015) Economic Geography",NA,NA
2-s2.0-84955732879,"Daskalakis M, (2015) New Perspectives for Environmental Policies Thr...",5,2
2-s2.0-84940440004,"Lundmark R & Backstrom K, (2015) Economics of Innovation and New Technology",6,1
2-s2.0-84929305412,"Storrosten H, (2015) Resource and Energy Economics",6,1
2-s2.0-85043298418,"Brent K et al., (2015) Journal of Law, Information and Science",NA,NA
2-s2.0-85015639576,"Corral P & Terbish M, (2015) Stata Journal",NA,NA
2-s2.0-84928956750,"Giddens A, (2015) Policy and politics",3,4
2-s2.0-84941560020,"Hilgartner S et al., (2015) Science and Democracy: Making Knowledge and Mak...",3,4
2-s2.0-84941585593,"Miller C, (2015) Science and Democracy: Making Knowledge and Mak...",3,4
2-s2.0-84923288656,"Rambo A, (2015) Journal of Industrial Ecology",NA,NA
2-s2.0-84943225397,"Karlsson-Vinkhuyzen S, (2015) Transitions to Sustainability",NA,NA
2-s2.0-85018689292,"Mahaffy P, (2015) Chemistry Education: Best Practices, Opportunit...",3,4
2-s2.0-85009961865,"Abbate T et al., (2015) Procedia Manufacturing",1,2
2-s2.0-84931834399,"Wink R et al., (2015) International Journal of Learning and Change",4,2
2-s2.0-84928242169,"Pinto H et al., (2015) Journal of Technology Management and Innovation",1,1
2-s2.0-84966738819,"van Winden W & Carvalho L, (2015) Making 21st Century Knowledge Complexes: Techno...",4,3
2-s2.0-84947489787,"Burch S et al., (2015) Local Environment",4,5
2-s2.0-84949533306,"Chen L, (2015) Technological Forecasting and Social Change",4,3
2-s2.0-84928663314,"Elder-Vass D, (2015) Journal of Critical Realism",NA,NA
2-s2.0-84926345590,"Hayter S, (2015) International Labour Review",NA,NA
2-s2.0-85053540322,"Rana M & AlHumaidan F, (2015) Coal Production and Processing Technology",NA,NA
2-s2.0-84939555507,"Sanderson H & Goodsite M, (2015) International Journal of Environmental Research...",NA,NA
2-s2.0-84952362129,"Princen T et al., (2015) Ending the Fossil Fuel Era",2,3
2-s2.0-84959903127,"Elliott D, (2015) Green Energy Futures: A Big Change for the Good",2,6
2-s2.0-84941421843,"Zhu J & Tang Y, (2015) European Journal of Law and Economics",NA,NA
2-s2.0-84942923242,"Magro E & Nauwelaers C, (2015) Strategies for Shaping Territorial Competitiveness",1,1
2-s2.0-84928266813,"Kypreos S & Lehtila A, (2015) Lecture Notes in Energy",NA,NA
2-s2.0-84937027753,"Goldstein D, (2015) Technological Forecasting and Social Change",4,1
